name,country,x,y,geometry,bidding_zone,NUTS_NAME,NUTS_ID
CZ0 9,CZ,16.162262,48.995537,POINT (16.162262 48.995537),1888.0,Česko,CZ0
DE0 0,DE,9.9570465,49.767698,POINT (9.9570465 49.767698),1890.0,Bayern,DE2
DE0 1,DE,7.02301033333332,51.58043333333333,POINT (7.02301033333332 51.58043333333333),1871.0,Nordrhein-Westfalen,DEA
DE0 10,DE,10.469055,52.192138,POINT (10.469055 52.192138),1870.0,Niedersachsen,DE9
DE0 100,DE,13.51559314253555,52.5187188248089,POINT (13.51559314253555 52.5187188248089),1891.0,Berlin,DE3
DE0 101,DE,12.1289065,53.129313,POINT (12.1289065 53.129313),1892.0,Brandenburg,DE4
DE0 102,DE,9.019762452479585,50.07652788801785,POINT (9.019762452479585 50.07652788801785),1890.0,Bayern,DE2
DE0 103,DE,8.52584833333333,49.20769233333333,POINT (8.52584833333333 49.20769233333333),1889.0,Baden-Württemberg,DE1
DE0 104,DE,11.260986,48.348948,POINT (11.260986 48.348948),1890.0,Bayern,DE2
DE0 105,DE,13.035278,48.67736,POINT (13.035278 48.67736),1890.0,Bayern,DE2
DE0 106,DE,6.89268905455984,49.3688006758019,POINT (6.89268905455984 49.3688006758019),1873.0,Saarland,DEC
DE0 107,DE,7.54662939404198,51.0374973304414,POINT (7.54662939404198 51.0374973304414),1871.0,Nordrhein-Westfalen,DEA
DE0 108,DE,7.67532300000001,51.975576,POINT (7.67532300000001 51.975576),1871.0,Nordrhein-Westfalen,DEA
DE0 109,DE,12.9906465,51.839165,POINT (12.9906465 51.839165),1875.0,Sachsen-Anhalt,DEE
DE0 11,DE,10.347748,47.742094,POINT (10.347748 47.742094),1890.0,Bayern,DE2
DE0 110,DE,12.049255,49.688955,POINT (12.049255 49.688955),1890.0,Bayern,DE2
DE0 111,DE,13.599701,54.113358,POINT (13.599701 54.113358),1869.0,Mecklenburg-Vorpommern,DE8
DE0 112,DE,7.9499815,48.571558,POINT (7.9499815 48.571558),1889.0,Baden-Württemberg,DE1
DE0 113,DE,8.328322999999994,52.4053095,POINT (8.328322999999994 52.4053095),1870.0,Niedersachsen,DE9
DE0 114,DE,14.80957,51.146617,POINT (14.80957 51.146617),1874.0,Sachsen,DED
DE0 115,DE,6.663894499999994,51.590705,POINT (6.663894499999994 51.590705),1871.0,Nordrhein-Westfalen,DEA
DE0 116,DE,9.57548518581588,51.24583802756475,POINT (9.57548518581588 51.24583802756475),1895.0,Hessen,DE7
DE0 117,DE,9.672089,50.543981,POINT (9.672089 50.543981),1895.0,Hessen,DE7
DE0 118,DE,10.239258,52.266052,POINT (10.239258 52.266052),1870.0,Niedersachsen,DE9
DE0 119,DE,8.442095526330705,53.1918000110303,POINT (8.442095526330705 53.1918000110303),1870.0,Niedersachsen,DE9
DE0 12,DE,7.870325996154254,51.71282843057988,POINT (7.870325996154254 51.71282843057988),1871.0,Nordrhein-Westfalen,DEA
DE0 120,DE,8.825455,49.956957,POINT (8.825455 49.956957),1895.0,Hessen,DE7
DE0 121,DE,8.814697333333333,51.37320466666667,POINT (8.814697333333333 51.37320466666667),1895.0,Hessen,DE7
DE0 122,DE,8.24386599999999,48.763431,POINT (8.24386599999999 48.763431),1889.0,Baden-Württemberg,DE1
DE0 123,DE,10.1877595,48.558846,POINT (10.1877595 48.558846),1889.0,Baden-Württemberg,DE1
DE0 124,DE,11.02066,48.441956,POINT (11.02066 48.441956),1890.0,Bayern,DE2
DE0 125,DE,7.09716799999999,50.632042,POINT (7.09716799999999 50.632042),1871.0,Nordrhein-Westfalen,DEA
DE0 126,DE,7.2166445,49.4109715,POINT (7.2166445 49.4109715),1873.0,Saarland,DEC
DE0 127,DE,7.58331300000001,51.3499145,POINT (7.58331300000001 51.3499145),1871.0,Nordrhein-Westfalen,DEA
DE0 128,DE,11.637268,52.27404,POINT (11.637268 52.27404),1875.0,Sachsen-Anhalt,DEE
DE0 129,DE,8.74786399999999,48.516604,POINT (8.74786399999999 48.516604),1889.0,Baden-Württemberg,DE1
DE0 13,DE,12.964554,50.9051665,POINT (12.964554 50.9051665),1874.0,Sachsen,DED
DE0 130,DE,7.13012700000001,51.207744,POINT (7.13012700000001 51.207744),1871.0,Nordrhein-Westfalen,DEA
DE0 131,DE,9.001923,53.468431,POINT (9.001923 53.468431),1870.0,Niedersachsen,DE9
DE0 132,DE,6.38957975,51.18092065166325,POINT (6.38957975 51.18092065166325),1871.0,Nordrhein-Westfalen,DEA
DE0 133,DE,6.568451,50.403266,POINT (6.568451 50.403266),1871.0,Nordrhein-Westfalen,DEA
DE0 134,DE,8.55492443930722,49.39270192862817,POINT (8.55492443930722 49.39270192862817),1889.0,Baden-Württemberg,DE1
DE0 135,DE,10.05043,49.9171765,POINT (10.05043 49.9171765),1890.0,Bayern,DE2
DE0 136,DE,8.92501799999999,48.806863,POINT (8.92501799999999 48.806863),1889.0,Baden-Württemberg,DE1
DE0 137,DE,12.659683,51.0905785,POINT (12.659683 51.0905785),1874.0,Sachsen,DED
DE0 138,DE,7.193527333333326,51.450672,POINT (7.193527333333326 51.450672),1871.0,Nordrhein-Westfalen,DEA
DE0 139,DE,9.235839666666664,48.50959433333333,POINT (9.235839666666664 48.50959433333333),1889.0,Baden-Württemberg,DE1
DE0 14,DE,6.762542999999996,51.127935,POINT (6.762542999999996 51.127935),1871.0,Nordrhein-Westfalen,DEA
DE0 140,DE,8.85360700000001,52.491028,POINT (8.85360700000001 52.491028),1870.0,Niedersachsen,DE9
DE0 141,DE,14.4195555,51.663848,POINT (14.4195555 51.663848),1892.0,Brandenburg,DE4
DE0 142,DE,10.452118,48.460173,POINT (10.452118 48.460173),1890.0,Bayern,DE2
DE0 143,DE,8.691559,51.707459,POINT (8.691559 51.707459),1871.0,Nordrhein-Westfalen,DEA
DE0 144,DE,9.621734666666669,53.57495333333333,POINT (9.621734666666669 53.57495333333333),1870.0,Niedersachsen,DE9
DE0 145,DE,9.350739,49.028864,POINT (9.350739 49.028864),1889.0,Baden-Württemberg,DE1
DE0 146,DE,9.325223860700191,48.76375242422747,POINT (9.325223860700191 48.76375242422747),1889.0,Baden-Württemberg,DE1
DE0 147,DE,10.829773,48.62837,POINT (10.829773 48.62837),1890.0,Bayern,DE2
DE0 148,DE,8.54461699999999,50.209428,POINT (8.54461699999999 50.209428),1895.0,Hessen,DE7
DE0 149,DE,8.00079299999999,53.55581,POINT (8.00079299999999 53.55581),1870.0,Niedersachsen,DE9
DE0 15,DE,13.099823,54.08076,POINT (13.099823 54.08076),1869.0,Mecklenburg-Vorpommern,DE8
DE0 150,DE,7.12738000000001,52.213497,POINT (7.12738000000001 52.213497),1871.0,Nordrhein-Westfalen,DEA
DE0 151,DE,13.6644113360729,52.576376456630896,POINT (13.6644113360729 52.576376456630896),1892.0,Brandenburg,DE4
DE0 152,DE,11.036785614371167,49.99407121779647,POINT (11.036785614371167 49.99407121779647),1890.0,Bayern,DE2
DE0 153,DE,6.871630329349211,51.492860796262754,POINT (6.871630329349211 51.492860796262754),1871.0,Nordrhein-Westfalen,DEA
DE0 154,DE,11.45462,51.606077,POINT (11.45462 51.606077),1875.0,Sachsen-Anhalt,DEE
DE0 155,DE,11.597443,50.895238,POINT (11.597443 50.895238),1855.0,Thüringen,DEG
DE0 156,DE,8.316650500000005,51.0447075,POINT (8.316650500000005 51.0447075),1871.0,Nordrhein-Westfalen,DEA
DE0 157,DE,10.449371,53.350466,POINT (10.449371 53.350466),1870.0,Niedersachsen,DE9
DE0 158,DE,8.507537499999994,49.9109345,POINT (8.507537499999994 49.9109345),1895.0,Hessen,DE7
DE0 159,DE,9.84374999999999,48.243882,POINT (9.84374999999999 48.243882),1889.0,Baden-Württemberg,DE1
DE0 16,DE,11.022034,49.629393,POINT (11.022034 49.629393),1890.0,Bayern,DE2
DE0 160,DE,12.378845,53.6599835,POINT (12.378845 53.6599835),1869.0,Mecklenburg-Vorpommern,DE8
DE0 161,DE,11.215668,47.528329,POINT (11.215668 47.528329),1890.0,Bayern,DE2
DE0 17,DE,7.6534936859732,49.4211731654171,POINT (7.6534936859732 49.4211731654171),1872.0,Rheinland-Pfalz,DEB
DE0 18,DE,7.272708679794059,52.599508179429904,POINT (7.272708679794059 52.599508179429904),1870.0,Niedersachsen,DE9
DE0 19,DE,9.181473572098746,48.8771207850822,POINT (9.181473572098746 48.8771207850822),1889.0,Baden-Württemberg,DE1
DE0 2,DE,13.30719,52.228641,POINT (13.30719 52.228641),1892.0,Brandenburg,DE4
DE0 20,DE,12.858124,48.3626275,POINT (12.858124 48.3626275),1890.0,Bayern,DE2
DE0 21,DE,10.345001,51.010299,POINT (10.345001 51.010299),1855.0,Thüringen,DEG
DE0 22,DE,7.83464440221508,47.59948731618336,POINT (7.83464440221508 47.59948731618336),1889.0,Baden-Württemberg,DE1
DE0 23,DE,11.759491,52.733797,POINT (11.759491 52.733797),1875.0,Sachsen-Anhalt,DEE
DE0 24,DE,8.75541650000001,50.179935,POINT (8.75541650000001 50.179935),1895.0,Hessen,DE7
DE0 25,DE,12.123413,51.518998,POINT (12.123413 51.518998),1875.0,Sachsen-Anhalt,DEE
DE0 26,DE,11.182709,48.078079,POINT (11.182709 48.078079),1890.0,Bayern,DE2
DE0 27,DE,11.75502775,48.388776,POINT (11.75502775 48.388776),1890.0,Bayern,DE2
DE0 28,DE,11.178589,50.21558,POINT (11.178589 50.21558),1890.0,Bayern,DE2
DE0 29,DE,14.3309785,51.2760075,POINT (14.3309785 51.2760075),1874.0,Sachsen,DED
DE0 3,DE,8.981679046573168,52.10925455473626,POINT (8.981679046573168 52.10925455473626),1871.0,Nordrhein-Westfalen,DEA
DE0 30,DE,8.117274304160645,50.35216391646556,POINT (8.117274304160645 50.35216391646556),1895.0,Hessen,DE7
DE0 31,DE,9.08020033333333,52.98322,POINT (9.08020033333333 52.98322),1870.0,Niedersachsen,DE9
DE0 32,DE,12.031403,49.350177,POINT (12.031403 49.350177),1890.0,Bayern,DE2
DE0 33,DE,9.621277,50.85971,POINT (9.621277 50.85971),1895.0,Hessen,DE7
DE0 34,DE,9.75860599999998,54.306108,POINT (9.75860599999998 54.306108),1854.0,Schleswig-Holstein,DEF
DE0 35,DE,6.527938999999997,49.904305750000006,POINT (6.527938999999997 49.904305750000006),1872.0,Rheinland-Pfalz,DEB
DE0 36,DE,8.326263,49.009952,POINT (8.326263 49.009952),1889.0,Baden-Württemberg,DE1
DE0 37,DE,10.095062,48.793295,POINT (10.095062 48.793295),1889.0,Baden-Württemberg,DE1
DE0 38,DE,13.3045311911548,52.565207785570735,POINT (13.3045311911548 52.565207785570735),1891.0,Berlin,DE3
DE0 39,DE,12.271729,54.068253,POINT (12.271729 54.068253),1869.0,Mecklenburg-Vorpommern,DE8
DE0 4,DE,8.494072076925026,47.95893701399025,POINT (8.494072076925026 47.95893701399025),1889.0,Baden-Württemberg,DE1
DE0 40,DE,11.431961,48.822680000000005,POINT (11.431961 48.822680000000005),1890.0,Bayern,DE2
DE0 41,DE,11.722412,50.582365,POINT (11.722412 50.582365),1855.0,Thüringen,DEG
DE0 42,DE,9.19143700000001,51.0879615,POINT (9.19143700000001 51.0879615),1895.0,Hessen,DE7
DE0 43,DE,7.355346499999994,51.470671,POINT (7.355346499999994 51.470671),1871.0,Nordrhein-Westfalen,DEA
DE0 44,DE,8.013877530182215,50.91310695143728,POINT (8.013877530182215 50.91310695143728),1871.0,Nordrhein-Westfalen,DEA
DE0 45,DE,10.020905,52.337856,POINT (10.020905 52.337856),1870.0,Niedersachsen,DE9
DE0 46,DE,6.6950224166666725,49.3754022582546,POINT (6.6950224166666725 49.3754022582546),1873.0,Saarland,DEC
DE0 47,DE,7.03399666666666,50.81689766666667,POINT (7.03399666666666 50.81689766666667),1871.0,Nordrhein-Westfalen,DEA
DE0 48,DE,11.56024498313405,53.5869692089323,POINT (11.56024498313405 53.5869692089323),1869.0,Mecklenburg-Vorpommern,DE8
DE0 49,DE,11.635895,51.994183,POINT (11.635895 51.994183),1875.0,Sachsen-Anhalt,DEE
DE0 5,DE,11.840515,48.869232,POINT (11.840515 48.869232),1890.0,Bayern,DE2
DE0 50,DE,9.39605700000001,48.037692,POINT (9.39605700000001 48.037692),1889.0,Baden-Württemberg,DE1
DE0 51,DE,10.39444,53.007347,POINT (10.39444 53.007347),1870.0,Niedersachsen,DE9
DE0 52,DE,8.36668068435786,50.03861271106575,POINT (8.36668068435786 50.03861271106575),1895.0,Hessen,DE7
DE0 53,DE,6.569824249999995,51.359927,POINT (6.569824249999995 51.359927),1871.0,Nordrhein-Westfalen,DEA
DE0 54,DE,6.756918538816388,50.8875713655386,POINT (6.756918538816388 50.8875713655386),1871.0,Nordrhein-Westfalen,DEA
DE0 55,DE,13.808441,50.952371,POINT (13.808441 50.952371),1874.0,Sachsen,DED
DE0 56,DE,7.71240200000001,48.103763,POINT (7.71240200000001 48.103763),1889.0,Baden-Württemberg,DE1
DE0 57,DE,10.802307,49.408293,POINT (10.802307 49.408293),1890.0,Bayern,DE2
DE0 58,DE,14.063928380043375,53.25859287262545,POINT (14.063928380043375 53.25859287262545),1892.0,Brandenburg,DE4
DE0 59,DE,8.6688995,52.030081,POINT (8.6688995 52.030081),1871.0,Nordrhein-Westfalen,DEA
DE0 6,DE,8.476453623269048,49.58282383241675,POINT (8.476453623269048 49.58282383241675),1895.0,Hessen,DE7
DE0 60,DE,7.489499896066114,50.32178314181116,POINT (7.489499896066114 50.32178314181116),1872.0,Rheinland-Pfalz,DEB
