,p_nom_max,weight,p_nom,capital_cost,carrier,efficiency,co2_fac,p_nom_extendable,bus,marginal_cost,control,p_nom_opt,type,p_nom_min,p_min_pu,p_max_pu,p_set,q_set,sign,build_year,lifetime,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,index,old_index,country,bidding_zone
2012,inf,0.0,1777.0,0.0,CCGT,0.5,0.2052,False,GB5 25,47.2,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,273,GB5 25,UK,UK
2013,inf,0.0,4020.0,0.0,coal,0.464,0.3384,False,GB5 25,24.10344828,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,273,GB5 25,UK,UK
2014,inf,0.0,40.0,0.0,oil,0.393,0.36,False,GB5 25,130.2264631,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,273,GB5 25,UK,UK
2015,2495.312643,934.7629842,0.0,109295.5693,onwind,1.0,0.0,True,GB5 25,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,273,GB5 25,UK,UK
2016,2272.164403,210.8128383,0.0,55064.07142,solar,1.0,0.0,True,GB5 25,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,273,GB5 25,UK,UK
2017,4155.258664,1393.375186,0.0,109295.5693,onwind,1.0,0.0,True,GB5 26,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,274,GB5 26,UK,UK
2018,3691.024452,338.6124443,0.0,55064.07142,solar,1.0,0.0,True,GB5 26,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,274,GB5 26,UK,UK
2019,inf,0.0,50.0,0.0,CCGT,0.5,0.2052,False,GB5 27,47.2,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,275,GB5 27,UK,UK
2020,1399.04071,527.4760509,0.0,109295.5693,onwind,1.0,0.0,True,GB5 27,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,275,GB5 27,UK,UK
2021,1683.183096,142.2985601,0.0,55064.07142,solar,1.0,0.0,True,GB5 27,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,275,GB5 27,UK,UK
