index;name;country_y;LON;LAT;geometry_y;bidding_zone_y;NUTS_NAME;NUTS_ID;BZ2;p_nom;carrier;marginal_cost;efficiency
114;DE0 159;DE;984375;48243882;POINT (984375 48243882);DE;Baden-Württemberg;DE1;DEII2;12.125;ror;0;0.9
114;DE0 159;DE;984375;48243882;POINT (984375 48243882);DE;Baden-Württemberg;DE1;DEII2;0;solar;0.01;1
115;DE0 16;DE;11022034;49629393;POINT (11022034 49629393);DE;Bayern;DE2;DEII2;178.3;CCGT;47.2;0.5
115;DE0 16;DE;11022034;49629393;POINT (11022034 49629393);DE;Bayern;DE2;DEII2;17.4;coal;2.410.344.828;0.464
115;DE0 16;DE;11022034;49629393;POINT (11022034 49629393);DE;Bayern;DE2;DEII2;0;onwind;0.015;1
115;DE0 16;DE;11022034;49629393;POINT (11022034 49629393);DE;Bayern;DE2;DEII2;1.594;ror;0;0.9
115;DE0 16;DE;11022034;49629393;POINT (11022034 49629393);DE;Bayern;DE2;DEII2;0;solar;0.01;1
116;DE0 160;DE;12378845;536599835;POINT (12378845 536599835);DE;Mecklenburg-Vorpommern;DE8;DEII1;0;onwind;0.015;1
116;DE0 160;DE;12378845;536599835;POINT (12378845 536599835);DE;Mecklenburg-Vorpommern;DE8;DEII1;0;solar;0.01;1
117;DE0 161;DE;11215668;47528329;POINT (11215668 47528329);DE;Bayern;DE2;DEII2;;;;
118;DE0 17;DE;7653493686;4942117317;POINT (7653493686 4942117317);DE;Rheinland-Pfalz;DEB;DEII2;11.6;OCGT;5.838.461.538;0.39
118;DE0 17;DE;7653493686;4942117317;POINT (7653493686 4942117317);DE;Rheinland-Pfalz;DEB;DEII2;13.4;coal;2.410.344.828;0.464
118;DE0 17;DE;7653493686;4942117317;POINT (7653493686 4942117317);DE;Rheinland-Pfalz;DEB;DEII2;0;onwind;0.015;1
118;DE0 17;DE;7653493686;4942117317;POINT (7653493686 4942117317);DE;Rheinland-Pfalz;DEB;DEII2;0;solar;0.01;1
119;DE0 18;DE;727270868;5259950818;POINT (727270868 5259950818);DE;Niedersachsen;DE9;DEII1;1837;CCGT;47.2;0.5
119;DE0 18;DE;727270868;5259950818;POINT (727270868 5259950818);DE;Niedersachsen;DE9;DEII1;66;OCGT;5.838.461.538;0.39
119;DE0 18;DE;727270868;5259950818;POINT (727270868 5259950818);DE;Niedersachsen;DE9;DEII1;10.6;biomass;1.495.726.496;0.468
119;DE0 18;DE;727270868;5259950818;POINT (727270868 5259950818);DE;Niedersachsen;DE9;DEII1;1336;nuclear;1.690.207.715;0.337
119;DE0 18;DE;727270868;5259950818;POINT (727270868 5259950818);DE;Niedersachsen;DE9;DEII1;0;onwind;0.015;1
119;DE0 18;DE;727270868;5259950818;POINT (727270868 5259950818);DE;Niedersachsen;DE9;DEII1;0;solar;0.01;1
120;DE0 19;DE;9181473572;4887712079;POINT (9181473572 4887712079);DE;Baden-Württemberg;DE1;DEII2;35.1;OCGT;5.838.461.538;0.39
120;DE0 19;DE;9181473572;4887712079;POINT (9181473572 4887712079);DE;Baden-Württemberg;DE1;DEII2;425.9;oil;1.302.264.631;0.393
